 ,source,target
Loc_Inventory/Loc_Inventory_Items_Crank,Crank,曲柄
Loc_Inventory/Loc_Inventory_Collectables_Blocks,DAVID Blocks,大卫积木
Loc_Inventory/Loc_Inventory_Collectables_Ball,David’s Toy Ball,大卫的玩具球
Loc_Inventory/Loc_Inventory_Collectables_RoxyHat,Deadeye Roxy Rodeo Hat,死神眼萝西牛仔帽
Loc_Inventory/Loc_Inventory_Items_EntryTicket,Entry Ticket,入场票
Loc_Inventory/Loc_Inventory_Collectables_SnowGlobe,Fall Fest Snow Globe,秋季嘉年华雪景球
Loc_Inventory/Loc_Inventory_Collectables_TicketBookName,Fall Fest Ticket Book,秋季嘉年华票本
Loc_Inventory/Loc_Inventory_Collectables_PizzaMaker,Fredbear Pizza Maker,弗雷德熊披萨机
Loc_Inventory/Loc_Inventory_Collectables_Record,Fredbear Singing Record,弗雷德熊唱片
Loc_Inventory/Loc_Inventory_Items_ProjectorFilmReelE,Fungineers!,趣工家！
Loc_Inventory/Loc_Inventory_Collectables_PrizeWheelTrophy,Grand Prize Trophy,终极大奖杯
Loc_Inventory/Loc_Inventory_Collectables_HedgehogMask,Hedgehog Mask,刺猬面具
Loc_Inventory/Loc_Inventory_Items_ProjectorFilmReelC,Jest Cereal,滑稽麦片
Loc_Inventory/Loc_Inventory_Collectables_DoctorsKit,Junior Doctor's Kit,小小医生工具箱
Loc_Inventory/Loc_Inventory_Collectables_SewingKit,Lil' Sewing Kit,迷你缝纫包
Loc_Inventory/Loc_Inventory_Items_ProjectorFilmReelB,Magic Coat Rack,魔法衣架
Loc_Inventory/Loc_Inventory_Collectables_WaterGame,Monty's Water Game ,蒙蒂水上游戏 
Loc_Inventory/Loc_Inventory_Items_ProjectorFilmReelD,Mycelian Music Machine ,菌丝音乐机 
Loc_Inventory/Loc_Inventory_Collectables_ChicaCup,Party Time Chica Vacuum Cup,派对时间奇卡吸管杯
Loc_Inventory/Loc_Inventory_Collectables_FishNet,Pet Fish Net,宠物鱼网
Loc_Inventory/Loc_Inventory_Collectables_FoxyPuppet,Pirate Foxy Puppet,海盗狐狸木偶
Loc_Inventory/Loc_Inventory_Collectables_Boot,Rainy Day Boot,雨天靴
Loc_Inventory/Loc_Inventory_Collectables_RangerArmyKnife,Ranger Army Knife,巡林军刀
Loc_Inventory/Loc_Inventory_Collectables_SharpayPlushie,Sharpay Plushie,夏匹绒毛玩偶
Loc_Inventory/Loc_Inventory_Collectables_NightLight,Star Orphan Night Light,星之孤儿夜灯
Loc_Inventory/Loc_Inventory_Items_ProjectorFilmReelF,Stay Up Latte!,熬夜拿铁！
Loc_Inventory/Loc_Inventory_Collectables_HoneyBottle,Swing Bee Honey Bottle,秋千蜂蜜瓶
Loc_Inventory/Loc_Inventory_Collectables_Hammer,Toy Hammer,玩具锤
Loc_Inventory/Loc_Inventory_Collectables_ToyPhone,Toy Phone,玩具电话
Loc_Inventory/Loc_Inventory_Collectables_VacuumPet,Vacuum Pet,吸尘宠物
Loc_Inventory/Loc_Inventory_Collectables_WhiteTiger,White Tiger Doll,白虎玩偶
Loc_Inventory/Loc_Inventory_Items_WindupMouse,Wind up Mouse,发条老鼠
Loc_Locations/Loc_Locations_ADMIN,ADMIN,管理员
Loc_Locations/Loc_Locations_ADMINWING,ADMIN WING,行政区
Loc_Locations/Loc_Locations_AUDIENCESEATING,AUDIENCE SEATING,观众席
Loc_Locations/Loc_Locations_Backstage,Backstage,后台
Loc_Locations/Loc_Locations_BackstageStorage,Backstage Storage,后台储藏间
Loc_Locations/Loc_Locations_BreakRoom,Break Room,休息室
Loc_Locations/Loc_Locations_ControlRoom,Control Room,控制室
Loc_Locations/Loc_Locations_DOLLHOSPITAL,DOLL HOSPITAL,玩偶医院
Loc_Locations/Loc_Locations_EditingRoom,Editing Room,编辑室
Loc_Locations/Loc_Locations_ElevatorRepair,Elevator Repair,电梯维修
Loc_Locations/Loc_Locations_LOADINGBAY,LOADING BAY,装卸区
Loc_Locations/Loc_Locations_LoadingBayControlRoom,Loading Bay Control Room,装卸区控制室
Loc_Locations/Loc_Locations_Lounge,Lounge,休息区
Loc_Locations/Loc_Locations_MAINHALLWAY,MAIN HALLWAY,主走廊
Loc_Locations/Loc_Locations_MANAGERSOFFICE,MANAGER'S OFFICE,经理办公室
Loc_Locations/Loc_Locations_ManagerHallwayLobby,Manager Hallway Lobby,经理走廊大厅
Loc_Locations/Loc_Locations_ManagerHallwayLobbyStorage,Manager Hallway Lobby Storage,经理走廊大厅储藏间
Loc_Locations/Loc_Locations_POWERREACTOR,POWER REACTOR,动力反应堆
Loc_Locations/Loc_Locations_RoofAccess,Roof Access,屋顶通道
Loc_Locations/Loc_Locations_SECURITYOFFICE,SECURITY OFFICE,安保办公室
Loc_Locations/Loc_Locations_STAGECONTROLS,STAGE CONTROLS,舞台控制区
Loc_Locations/Loc_Locations_STAIRWELL,STAIRWELL,楼梯间
Loc_Locations/Loc_Locations_STORAGE,STORAGE,储藏室
Loc_Locations/Loc_Locations_SecurityOffice,Security Office,安保办公室
Loc_Locations/Loc_Locations_ShowroomsEntrance,Showrooms Entrance,展厅入口
Loc_Locations/Loc_Locations_THEATER,THEATER,剧院
Loc_Locations/Loc_Locations_TRIAGE,TRIAGE,分诊区
Loc_Locations/Loc_Locations_UpperWarehouse,Upper Warehouse,上层仓库
Loc_Locations/Loc_Locations_WAREHOUSE,WAREHOUSE,仓库
Loc_Locations/Loc_Locations_WORKSHOP,WORKSHOP,工坊
Loc_Locations/Loc_Locations_WarehouseFloor,Warehouse Floor,仓库地面
Loc_Objective/Loc_Objective_Obj8_Text2,Access the Admin Wing through the Warehouse.,通过仓库进入行政区。
Loc_Objective/Loc_Objective_Obj6_Text3,Build a Springlock Suit to access theater.,制作弹簧锁套装以进入剧院。
Loc_Objective/Loc_Objective_Obj7_Text4,Collect and dump recycling cubes into trash chutes.,收集并把回收立方体倒进垃圾槽。
Loc_Objective/Loc_Objective_Obj11_Text2,Enter the Security Office.,进入安保办公室。
Loc_Objective/Loc_Objective_Obj7_Text1,Escape the Doll Hospital.,逃离玩偶医院。
Loc_Objective/Loc_Objective_Obj1_Text3,Exit the van.,离开面包车。
Loc_Objective/Loc_Objective_Obj7_Text3,Fill incinerator to open the exit.,让焚化炉达到要求以打开出口。
Loc_Objective/Loc_Objective_Obj4_Text3,Find Repair Instructional Tape.,找到维修说明磁带。
Loc_Objective/Loc_Objective_Obj1_Text1,Find a way into Murray's Costume Manor.,想办法进入默里的服装庄园。
Loc_Objective/Loc_Objective_Obj11_Text3,Find a way into the attic.,找到进阁楼的方法。
Loc_Objective/Loc_Objective_Obj11_Text1,Find a way out of the facility.,想办法离开这个设施。
Loc_Objective/Loc_Objective_Obj6_Text4,Find a way to get your Springlock Suit.,想办法取得你的弹簧锁套装。
Loc_Objective/Loc_Objective_Obj3_Text1,Find the Manager’s Office. ,找到经理办公室。 
Loc_Objective/Loc_Objective_Obj2_Text1,Find the elevator to the Manager’s Office.,找到前往经理办公室的电梯。
Loc_Objective/Loc_Objective_Obj2_Text2,Find the elevator to the Manager’s Office.,找到前往经理办公室的电梯。
Loc_Objective/Loc_Objective_Obj4_Text8,Finish the Big Top Experience.,完成蛛顶票王体验。
Loc_Objective/Loc_Objective_Obj9_Text1,Get back to the Security Office.,返回安保办公室。
Loc_Objective/Loc_Objective_Obj8_Text1,Get the blueprints in the Admin Wing.,在行政区获取蓝图。
Loc_Objective/Loc_Objective_Obj1_Text4,Get to the Security Office.,到达安保办公室。
Loc_Objective/Loc_Objective_Obj10_Text1,Give up the Data Diver.,交出数据潜入器。
Loc_Objective/Loc_Objective_Obj6_Text2,Go through the Workshops to get to the Theater.,穿过工坊前往剧院。
Loc_Objective/Loc_Objective_Obj5_Text1,Head back to the Security Office through the roof access.,通过屋顶通道返回安保办公室。
Loc_Objective/Loc_Objective_Obj13_Text1,Leave the Facility,离开这处设施。
Loc_Objective/Loc_Objective_Obj1_Text2,Pick up Data Diver.,拾取数据潜入器。
Loc_Objective/Loc_Objective_Obj4_Text5,Repair Showroom Elevator.,修复展厅的电梯。
Loc_Objective/Loc_Objective_Obj7_Text2,Repair the Doll Hospital door.,修理玩偶医院的门。
Loc_Objective/Loc_Objective_Obj4_Text2,Reset Welcome Show.,重启欢迎秀。
Loc_Objective/Loc_Objective_Obj2_Text3,Reset the power.,重启电源系统。
Loc_Objective/Loc_Objective_Obj12_Text1,Return to the Security Office.,返回安保办公室。
Loc_Objective/Loc_Objective_Obj6_Text5,Start the Puppet Show.,开启木偶表演秀。
Loc_Objective/Loc_Objective_Obj7_Text5,Unclog the chutes manually.,手动疏通溜槽堵塞。
Loc_Objective/Loc_Objective_Obj4_Text1,Upgrade Data Diver in the Big Top Showroom.,在蛛顶票王展厅给数据潜入器升级。
Loc_Objective/Loc_Objective_Obj6_Text1,Upgrade Data Diver in the Theater.,在剧院为数据潜入器升级。
Loc_Objective/Loc_Objective_Obj4_Text6,Upgrade Station is on the 2nd Floor.,升级站位于二楼。
Loc_Objective/Loc_Objective_Obj4_Text7,Use conduit to restart power.,用电缆重启电源。
Loc_Objective/Loc_Objective_Obj4_Text4,Use tape on Repair Terminal.,用维修胶带修理终端设备。
Loc_Objective/Loc_Objective_Obj4_Text9,Use the Upgrade Station.,使用升级站进行升级。
Loc_Subtitles/VAC_AD_00006,(ANNOUNCER)\\\\--to the smallest crumbs.,(播报员)\\\\—连最细小的面包屑都不放过。
Loc_Subtitles/VAC_AD_00011,(ANNOUNCER)\\\\...And your kids will have a friend for life.,(播报员)\\\\……你的孩子会拥有一生的朋友。
Loc_Subtitles/RACK_AD_00004,(ANNOUNCER)\\\\Adjusts for any size of clothing!,(播报员)\\\\适合各种尺码的衣物都能使用！
Loc_Subtitles/VAC_AD_00008,(ANNOUNCER)\\\\And what you really need most in a vacuum cleaner is Friendship.,(播报员)\\\\其实吸尘器最重要的，是一份“友谊”。
Loc_Subtitles/TOY_AD_00008,(ANNOUNCER)\\\\Another 'smart' toy from Murray.,(播报员)\\\\又一款默里出品的“智能”玩具。
Loc_Subtitles/VAC_AD_00001,(ANNOUNCER)\\\\Are you looking for the perfect vacuum cleaner?,(播报员)\\\\你正在寻找理想的吸尘器吗？
Loc_Subtitles/RACK_AD_00001,(ANNOUNCER)\\\\Are your clothes creating a catastrophic pile?,(播报员)\\\\你的衣服是不是早已堆成一座灾难山？
Loc_Subtitles/TOY_AD_00001,(ANNOUNCER)\\\\Bring the magic and whimsy of the Mycellium Men home with you today.,(播报员)\\\\快把菌丝乐队的魔力和童趣带回家吧！
Loc_Subtitles/PARTY_AD_00004,(ANNOUNCER)\\\\Bring the whole family and meet Chica in person!,(播报员)\\\\全家一起来，现场见见奇卡本人！
Loc_Subtitles/PARTY_AD_00003,"(ANNOUNCER)\\\\Chica's craving burgers, fries, cupcakes, and more!",(播报员)\\\\奇卡最想吃汉堡、薯条、杯子蛋糕，还有更多美食！
Loc_Subtitles/TOY_AD_00005,(ANNOUNCER)\\\\Collect them all and let them jam.,(播报员)\\\\全部收集，一起嗨唱演奏！
Loc_Subtitles/VAC_AD_00003,(ANNOUNCER)\\\\Introducing the brand new revolutionary advancement in Vacuum technology: Murray's Marvelous Clean-O-Vac!,(播报员)\\\\隆重推荐吸尘科技的革命新作：默里神奇Clean-O-Vac！
Loc_Subtitles/RACK_AD_00002,(ANNOUNCER)\\\\Is your family distraught by the untidy nature of your house?,(播报员)\\\\家里乱糟糟让家人头疼吗？
Loc_Subtitles/RACK_AD_00006,(ANNOUNCER)\\\\It'll even hold your pots and pans!,(播报员)\\\\它甚至能帮你收纳锅碗瓢盆！
Loc_Subtitles/RACK_AD_00010,(ANNOUNCER)\\\\It's a Murray Invention from Murray Co.!,(播报员)\\\\默里公司的原创发明！
Loc_Subtitles/TOY_AD_00004,(ANNOUNCER)\\\\It's like having your very own band or a friend.,(播报员)\\\\就像有自己的乐队或最好的朋友一样。
Loc_Subtitles/TOY_AD_00002,(ANNOUNCER)\\\\It's the new musical Mycellium Men.,(播报员)\\\\全新推出音乐菌丝乐队。
Loc_Subtitles/RACK_AD_00005,"(ANNOUNCER)\\\\Jackets, hats, cardigans, blazers, bags, shawls, scarves, and more!",(播报员)\\\\夹克、帽子、开衫、西装外套、包包、披肩、围巾……还有更多！
Loc_Subtitles/JEST_AD_00001,(ANNOUNCER)\\\\Jest Cereal - start your day with a bowl of laughs!,(播报员)\\\\杰斯特麦片—让欢笑陪你开启每一天！
Loc_Subtitles/PARTY_AD_00001,(ANNOUNCER)\\\\Looking for a groovy place to boogie?,(播报员)\\\\想找个酷炫的地方尽情舞动吗？
Loc_Subtitles/VAC_AD_00010,"(ANNOUNCER)\\\\Moms, you won't have to leave the kitchen for the house to be spotless.",(播报员)\\\\妈妈们，哪怕待在厨房，家也能干净如新。
Loc_Subtitles/VAC_AD_00012,(ANNOUNCER)\\\\Murray's Marvelous Clean-O-Vac. Order one today and make your family a happy one.,(播报员)\\\\默里的神奇全能吸尘器。立即订购，让全家都幸福快乐！
Loc_Subtitles/TOY_AD_00007,(ANNOUNCER)\\\\Musical Mycellium Men. Batteries not included.,(播报员)\\\\音乐菌丝小人。需自备电池。
Loc_Subtitles/VAC_AD_00004,(ANNOUNCER)\\\\Never before could a vacuum adjust its size to fit into hard to reach places.,(播报员)\\\\从未有吸尘器能随意调节大小，适应最难清理的角落。
Loc_Subtitles/VAC_AD_00007,(ANNOUNCER)\\\\One size fits all!!,(播报员)\\\\一款通用，人人适用!!
Loc_Subtitles/RACK_AD_00008,(ANNOUNCER)\\\\Or you if you are feeling down!,(播报员)\\\\你心情低落时也能用！
Loc_Subtitles/RACK_AD_00007,(ANNOUNCER)\\\\Or your pet!,(播报员)\\\\连你的宠物也适用！
Loc_Subtitles/RACK_AD_00009,(ANNOUNCER)\\\\Order several for your house today!,(播报员)\\\\赶紧为你的家多订几台吧！
Loc_Subtitles/VAC_AD_00005,(ANNOUNCER)\\\\Patented Murray tech allows you to clean everything. From the biggest messes--,(播报员)\\\\默里专利科技，轻松应对所有清洁难题。从最糟糕的混乱—
Loc_Subtitles/TOY_AD_00006,(ANNOUNCER)\\\\Pretty groovy.,(播报员)\\\\相当酷！
Loc_Subtitles/PARTY_AD_00002,(ANNOUNCER)\\\\Roll on down to Chica's Party World!,(播报员)\\\\快来奇卡的派对世界嗨起来！
Loc_Subtitles/RACK_AD_00003,"(ANNOUNCER)\\\\The solution is here, friend: Murray's Magic Coat-Rack!",(播报员)\\\\朋友，终极解决方案来了：默里的魔法衣帽架！
Loc_Subtitles/VAC_AD_00002,"(ANNOUNCER)\\\\There are so many to choose from, but none of them fit every corner of your home.",(播报员)\\\\市面上有很多选择，但没有一个能适合你家的每个角落。
Loc_Subtitles/TOY_AD_00003,(ANNOUNCER)\\\\They repeat any song they hear or anything you say.,(播报员)\\\\它们能模仿任何听到的歌曲和你说的话。
Loc_Subtitles/VAC_AD_00009,(ANNOUNCER)\\\\Your family will love the new addition.,(播报员)\\\\你的家人一定会喜欢这个新成员的。
Loc_Subtitles/ARNOLD_00401,(ARNOLD))\\\\Wait. What? What are you? A computer? Your voice changed. What is going on?,(阿诺德)\\\\等等，什么？你是谁？是一台电脑吗？你的声音变了，到底发生了什么？
Loc_Subtitles/ARNOLD_00506,(ARNOLD)\\\\(Cough),(阿诺德)\\\\(咳嗽)
Loc_Subtitles/ARNOLD_00509,(ARNOLD)\\\\(Long scream),(阿诺德)\\\\(长时间尖叫)
Loc_Subtitles/ARNOLD_00503,"(ARNOLD)\\\\(Low, scared breathing, long)",(阿诺德)\\\\(低声、害怕的喘息，持续很久)
Loc_Subtitles/ARNOLD_00508,(ARNOLD)\\\\(Nervous),(阿诺德)\\\\(紧张)
Loc_Subtitles/ARNOLD_00507,(ARNOLD)\\\\(Out of breath),(阿诺德)\\\\(气喘吁吁)
Loc_Subtitles/ARNOLD_00502,(ARNOLD)\\\\(Running),(阿诺德)\\\\(奔跑中)
Loc_Subtitles/ARNOLD_00500,(ARNOLD)\\\\(Scream while falling),(阿诺德)\\\\(摔倒时尖叫)
Loc_Subtitles/ARNOLD_00505,(ARNOLD)\\\\(soft jumpscare),(阿诺德)\\\\(轻微惊吓音效)
Loc_Subtitles/ARNOLD_01004,(ARNOLD)\\\\Actually...,(阿诺德)\\\\其实……
Loc_Subtitles/ARNOLD_00101,"(ARNOLD)\\\\Ah, man! That- that- That thing tried to kill me! I gotta get out of here.",(阿诺德)\\\\天哪！那东西刚才差点杀了我！我得赶紧离开这里。
Loc_Subtitles/ARNOLD_00007,(ARNOLD)\\\\Doesn’t look like anyone’s here. ,(阿诺德)\\\\看来这里没人。 
Loc_Subtitles/ARNOLD_01007,(ARNOLD)\\\\I did everything you told me to.,(阿诺德)\\\\我已经全照你说的做了。
Loc_Subtitles/ARNOLD_01003,(ARNOLD)\\\\I hate you.,(阿诺德)\\\\我恨你。
Loc_Subtitles/ARNOLD_00006,(ARNOLD)\\\\I just pulled up.,(阿诺德)\\\\我刚到了。
Loc_Subtitles/ARNOLD_01006,(ARNOLD)\\\\No! I gave it to you!,(阿诺德)\\\\不是！东西已经给你了！
Loc_Subtitles/ARNOLD_00201,"(ARNOLD)\\\\Oh no no no! I almost died again!!\\\\You need to send help! Get me out of here, now!!",(阿诺德)\\\\不不不！我又差点死了！！快派人来救我！马上带我离开这里！！
Loc_Subtitles/ARNOLD_00008,(ARNOLD)\\\\Okay... how am I supposed to get in?,(阿诺德)\\\\那我应该怎么进去？
Loc_Subtitles/ARNOLD_00009,(ARNOLD)\\\\That sounded important. What was that?,(阿诺德)\\\\那声音听起来很重要。刚才那是什么？
Loc_Subtitles/ARNOLD_01001,"(ARNOLD)\\\\Wait, what? I can barely keep my eyes open!",(阿诺德)\\\\等等，什么？我已经快睁不开眼睛了！
Loc_Subtitles/ARNOLD_01000,"(ARNOLD)\\\\Well, since you asked, I just finished a 36-hour shift... been struggling to stay awake. Frankly, I tried to tell my manager that I can't work like this anymore...",(阿诺德)\\\\既然你问了，我刚刚连续上了36小时的班……一直在硬撑保持清醒。说真的，我都跟经理说过我撑不下去了……
Loc_Subtitles/ARNOLD_01005,(ARNOLD)\\\\What? I just talked to you. You told me to give you the data diver and I could go home.,(阿诺德)\\\\什么？我刚跟你说过话。你说让我把数据潜入器给你，我就能回家了。
Loc_Subtitles/ARNOLD_01002,(ARNOLD)\\\\What? No! I'm doing it because you guys keep threatening to dock my pay and repo my truck!,(阿诺德)\\\\什么？不是的！我这么做是因为你们一直威胁要扣我工资，还要把我的卡车收回去！
Loc_Subtitles/ARNOLD_00501,(ARNOLD)\\\\Whoop!,(阿诺德)\\\\哇啊！
Loc_Subtitles/BAWSON_00005,(BAWSON)\\\\(Cheering on fight),(鲍森)\\\\(为战斗加油)
Loc_Subtitles/BAWSON_00006,(BAWSON)\\\\(Fighting tentacles),(鲍森)\\\\(和触手搏斗)
Loc_Subtitles/BAWSON_00009,(BAWSON)\\\\(Impacts) (being shot by player),(鲍森)\\\\(中弹)(被玩家射击)
Loc_Subtitles/BAWSON_00007,(BAWSON)\\\\Ahoy!,(鲍森)\\\\嗨咿！
Loc_Subtitles/BAWSON_00001,"(BAWSON)\\\\Aye, Foxy?",(鲍森)\\\\嘿，霍斯？
Loc_Subtitles/BAWSON_00003,(BAWSON)\\\\Foxy! Foxy! It’s done!,(鲍森)\\\\霍斯！霍斯！搞定了！
Loc_Subtitles/BAWSON_00002a,(BAWSON)\\\\Grumble grumble..,(鲍森)\\\\嘟囔嘟囔……
Loc_Subtitles/BAWSON_00004,"(BAWSON)\\\\I gave it all I got, Foxy. I present to you, the perfect present!",(鲍森)\\\\我已经竭尽全力了，霍斯。这就是我为你准备的，完美礼物！
Loc_Subtitles/BAWSON_00002,(BAWSON)\\\\Is that all is it? Perfect Present coming right up!,(鲍森)\\\\就这些是吧？完美的礼物马上奉上！
Loc_Subtitles/BAWSON_00008,(BAWSON)\\\\Yar!,(鲍森)\\\\呀哈！
Loc_Subtitles/BAWSON_00010,(BAWSON)\\\\Yes. Yes. You go enjoy that now.,(鲍森)\\\\对，对。你慢慢享用吧。
Loc_Subtitles/BIGTOP_00100,"(BIG TOP)\\\\Tickets, please.",(蛛顶票王)\\\\请出示您的票。
Loc_Subtitles/BIGTOP_00100a,"(BIG TOP)\\\\Tickets, please.",(蛛顶票王)\\\\请出示您的票。
Loc_Subtitles/BIGTOP_00100b,"(BIG TOP)\\\\Tickets, please.",(蛛顶票王)\\\\请出示您的票。
Loc_Subtitles/BIGTOP_00100c,"(BIG TOP)\\\\Tickets, please.",(蛛顶票王)\\\\请出示您的票。
Loc_Subtitles/BIGTOP_00100d,"(BIG TOP)\\\\Tickets, please.",(蛛顶票王)\\\\请出示您的票。
Loc_Subtitles/BIGTOP_00100e,"(BIG TOP)\\\\Tickets, please.",(蛛顶票王)\\\\请出示您的票。
Loc_Subtitles/CAPTAIN_00020,(CAPTAIN)\\\\(Hearty Laugh),(船长)\\\\(豪爽大笑)
Loc_Subtitles/PIRATE_CHORUS_00003,(CAPTAIN)\\\\(Yelling and running around),(船长)\\\\(大喊着四处乱跑)
Loc_Subtitles/CAPTAIN_00021,(CAPTAIN)\\\\(growl),(船长)\\\\(咆哮)
Loc_Subtitles/CAPTAIN_00014,(CAPTAIN)\\\\Ahoy!,(船长)\\\\喂咿！
Loc_Subtitles/CAPTAIN_00002,(CAPTAIN)\\\\Arrr we under attack? The ship be covered in… covered in… decorations?,(船长)\\\\咦？我们被袭击了吗？船上怎么全是……全是……装饰品？
Loc_Subtitles/CAPTAIN_00010,"(CAPTAIN)\\\\Avast, Ye watery beatnik!",(船长)\\\\住手，水里的家伙！
Loc_Subtitles/CAPTAIN_00009,(CAPTAIN)\\\\Be gone! Boat-hugger!,(船长)\\\\走开！你这抱船狂！
Loc_Subtitles/CAPTAIN_00007,"(CAPTAIN)\\\\Curse ye, Foxy!",(船长)\\\\可恶，霍斯！
Loc_Subtitles/CAPTAIN_00003,"(CAPTAIN)\\\\Decorations… First Mate Foxy, arr ye havin’ a parrrrty?",(船长)\\\\装饰品……一副手霍斯，你在办派对吗？
Loc_Subtitles/CAPTAIN_00004,(CAPTAIN)\\\\Did ye forget pirate rule number 22 - NO PARRRTIES!! ,(船长)\\\\你忘了海盗守则第22条—禁止开派对！！ 
Loc_Subtitles/CAPTAIN_00008,(CAPTAIN)\\\\Every sailor knows Rocktopi are drawn to boat parties!\\\\This is why sailors don’t have boat parties!,(船长)\\\\每个水手都知道摇滚章鱼们最喜欢船上的派对！这就是水手绝不在船上办派对的原因！
Loc_Subtitles/CAPTAIN_00019,(CAPTAIN)\\\\Fire in the hole!,(船长)\\\\开火！
Loc_Subtitles/CAPTAIN_00013,"(CAPTAIN)\\\\Foxy, my birthday was LAST week!",(船长)\\\\霍斯，我的生日可是上周了！
Loc_Subtitles/CAPTAIN_00012,"(CAPTAIN)\\\\Foxy, this party was for me??",(船长)\\\\霍斯，这场派对是给我办的？？
Loc_Subtitles/CAPTAIN_00017,(CAPTAIN)\\\\Grumble grumble..,(船长)\\\\嘟囔嘟囔……
Loc_Subtitles/CAPTAIN_00022,(CAPTAIN)\\\\No parties!!,(船长)\\\\不许办派对！！
Loc_Subtitles/CAPTAIN_00006,(CAPTAIN)\\\\Party snacks?! Pirate rule number 1 - NO PARTY SNACKS!!,(船长)\\\\派对零食？！海盗第一条铁律—绝不准有派对零食！！
Loc_Subtitles/CAPTAIN_00018,(CAPTAIN)\\\\Take that! And that!,(船长)\\\\吃我这一招！再来一下！
Loc_Subtitles/CAPTAIN_00016,(CAPTAIN)\\\\Walk the plank.,(船长)\\\\给我走跳板去。
Loc_Subtitles/CAPTAIN_00011,"(CAPTAIN)\\\\Well done lads, ye all worked together for once. Like a real crew!\\\\You’ve made me the happiest Captain on the seven seas!",(船长)\\\\干得漂亮，伙计们，难得大家一起合作了一回。简直像真正的船员了！\\\\你们让我成了七大洋上最开心的船长！
Loc_Subtitles/CAPTAIN_00001,(CAPTAIN)\\\\YaArrrgh…. What’s all this racket?,(船长)\\\\呀—这里闹腾什么呢？
Loc_Subtitles/CAPTAIN_00005,(CAPTAIN)\\\\…and pirate rule number 2 - NO DECORATIONS!! …aside from our flag that is…,(船长)\\\\……还有，海盗第二条铁律—不许装饰！！……当然，除了我们的海盗旗……
Loc_Subtitles/DAVID_00702,(DAVID)\\\\(begins to cry softly),(大卫)\\\\(低声哭泣起来)
Loc_Subtitles/DAVID_00500,(DAVID)\\\\I love you.,(大卫)\\\\我爱你。
Loc_Subtitles/DAVID_00601,(DAVID)\\\\It’s scary.,(大卫)\\\\好可怕。
Loc_Subtitles/DAVID_00602,(DAVID)\\\\Like what?,(大卫)\\\\像什么？
Loc_Subtitles/DAVID_00701,(DAVID)\\\\Wait for Mama. Mama loves presents.,(大卫)\\\\等等妈妈。妈妈最喜欢收礼物了。
Loc_Subtitles/DAVID_00703,(DAVID)\\\\Where is it?,(大卫)\\\\它在哪儿？
Loc_Subtitles/DAVID_00600,(DAVID)\\\\Why does it look like that?,(大卫)\\\\它怎么长成那样？
Loc_Subtitles/DAVID_00704,(DAVID)\\\\Wow!,(大卫)\\\\哇！
Loc_Subtitles/DIGI_00007,(DIGITYPER)\\\\Back to work.,(数码打字机器人)\\\\回到工作中。
Loc_Subtitles/DIGI_00003,(DIGITYPER)\\\\Do you need a snappy delivery?,(数码打字机器人)\\\\需要我闪电送达吗？
Loc_Subtitles/DIGI_00004,(DIGITYPER)\\\\I deliver in a snap.,(数码打字机器人)\\\\我可以秒送到位。
Loc_Subtitles/DIGI_00009,(DIGITYPER)\\\\I will make it snap snap snappy.,(数码打字机器人)\\\\我保证让投递嗖嗖快。
Loc_Subtitles/DIGI_00001,(DIGITYPER)\\\\Mail call.,(数码打字机器人)\\\\邮件送达。
Loc_Subtitles/DIGI_00006,"(DIGITYPER)\\\\Package, letter, parcel, post, postcard, card, communication, note, memo, memorandum, missive, report, news, dispatch, document, bulletin and epistle.",(数码打字机器人)\\\\包裹、信件、快件、邮包、明信片、卡片、信息、便条、备忘、通知、书信、报告、新闻、调度、文档、公告，还有鸿雁传书。
Loc_Subtitles/DIGI_00005,(DIGITYPER)\\\\Please select your method of delivery.,(数码打字机器人)\\\\请选择您的投递方式。
Loc_Subtitles/DIGI_00008,(DIGITYPER)\\\\Ready. Execute.,(数码打字机器人)\\\\准备好了。执行操作。
Loc_Subtitles/DIGI_00002,(DIGITYPER)\\\\Welcome new user.,(数码打字机器人)\\\\欢迎，新增用户。
Loc_Subtitles/JACKIE_00003,"(DIGITYPER)\\\\Welcome… new user. 

JACKIE:
Tag. You’re it.","(数码打字机器人)\\\\欢迎……新用户。

杰基:
捉到你啦。你就是被抓的那一个。"
Loc_Subtitles/DISPATCH_00314s,(DISPATCH)\\\\(Until the next time something bad happens to you.),(调度员)\\\\(等到你下次又倒霉时再见。)
Loc_Subtitles/DISPATCH_00350,(DISPATCH)\\\\...And need I remind you to refer to section 9.041 of your contract?,(调度员)\\\\……还需要我提醒你查查合同第9.041条吗？
Loc_Subtitles/DISPATCH_01013,"(DISPATCH)\\\\...How immoral would that be? Ha! But seriously, great job.",(调度员)\\\\……这样做有多不道德？哈哈！不过说真的，干得不赖。
Loc_Subtitles/DISPATCH_01012,(DISPATCH)\\\\...Not that anyone here at Fazbear Entertainment was wagering if you would survive or not... ,(调度员)\\\\……不是说费斯熊娱乐这里有谁在赌你能不能活着出来…… 
Loc_Subtitles/DISPATCH_01021,(DISPATCH)\\\\...always being mindful of the fact that this... 'entity' could potentially be inside any costume or character that you see.,(调度员)\\\\……时刻记住，这个……“存在”随时有可能藏在你看到的任何套装或者角色里。
